date,SPY,XLF,MSFT,AAPL
20050922,0.003556,0.007578,-0.005885,-0.00403
20050923,0.000824,0.003419,-0.002762,0.025048
20050926,0.001153,-0.005451,0,0.01203
20050927,-0.000247,0.003426,0.00277,-0.007429
20050928,0.000987,-0.008194,0.013023,-0.044162
20050929,0.008137,0.018589,0.010518,0.024667
20050930,0.003098,-0.002366,-0.008096,0.024264
20051003,-0.003576,-0.002371,-0.008939,0.015482
20051004,-0.011256,-0.012564,-0.020392,-0.012674
20051005,-0.013117,-0.004127,-0.01241,-0.018045
20051006,-0.003594,0.002762,0.002432,-0.020464
20051007,0.00344,0.003443,-0.005661,-0.007737
20051010,-0.008444,-0.010638,-0.005287,-0.018129
20051011,-0.001433,-0.003122,-0.002044,0.024221
20051012,-0.007853,-0.004523,-0.004506,-0.045358
20051013,-0.000596,0.004893,0.011934,0.091168
20051014,0.010559,0.01113,0.003253,0.004838
20051017,0.003708,0.001032,-0.005675,-0.01037
20051018,-0.01083,-0.007904,0.001631,-0.023016
20051019,0.016636,0.02009,0.021164,0.052289
20051020,-0.017616,-0.008829,-0.011957,0.021842
20051021,0.003909,0.005824,-0.000403,-0.00855
20051024,0.015491,0.019755,0.012914,0.020302
20051025,-0.002001,-0.005678,-0.002789,-0.01215
20051026,-0.002923,0.006718,0.0032,0.016578
20051027,-0.010639,-0.005672,-0.010358,-0.028406
20051028,0.014395,0.017114,0.027364,-0.016964
20051031,0.002755,0.003629,0.006659,0.057279
20051101,0.002997,-0.003616,0.010117,-0.001563
20051102,0.010457,0.008248,0.01926,0.042609
20051103,0.004271,0.000654,-0.000756,0.031691
20051104,-0.001309,0.001635,0.008321,-0.011316
20051107,0.000983,0.008488,0.013128,-0.015045
20051108,0,-0.002914,0.001462,-0.005479
20051109,0.001309,0.002597,-0.003309,0.003506
20051110,0.007762,0.020078,0.004822,0.017801
20051111,0.003405,0.003492,0.007014,0.005884
20051114,-0.000566,0.000633,0.002566,-0.001462
20051115,-0.003638,-0.009168,0.008409,0.013507
20051116,0.002029,-0.005424,0.008727,0.042871
20051117,0.009313,0.01187,0.008291,-0.00662
20051118,0.003931,0.005073,0.003575,0.00062
20051121,0.005035,0.004732,0.003206,0.006196
20051122,0.004294,0.008791,-0.008878,0.024015
20051123,0.00578,0.007781,0.000358,0.00887
20051125,0.000787,0.002162,-0.005731,0.033229
20051128,-0.007079,-0.004623,-0.00036,0.004615
20051129,-0.001109,-0.000619,-0.002523,-0.022395
20051130,-0.005393,-0.012701,0,-0.004112
20051201,0.010207,0.005334,0.007587,0.055737
20051202,0.001263,0.002185,0.004303,0.014384
20051205,-0.002128,-0.001869,-0.005712,-0.011152
20051206,0.001896,-0.00312,-0.005745,0.03105
20051207,-0.005835,-0.008138,0.002167,-0.001351
20051208,-0.000635,-0.000631,-0.002162,0.001758
20051209,0.002619,0.007262,0.000722,0.003381
20051212,0.00095,-0.004389,-0.009383,0.007796
20051213,0.006801,0.012909,-0.011654,0.000934
20051214,0.003927,0.00373,-0.001478,-0.039611
20051215,-0.002895,-0.005574,-0.006275,0.002361
20051216,-0.003204,0.00243,-0.000743,-0.014824
